status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,AZ,Phoenix,29555 N Cave Creek Road,9/22/2022 14:41,-111.990874,33.753656,9/22/2022 17:00
working,AZ,Gilbert,1945 E Baseline Rd,9/22/2022 14:41,-111.789302,33.378528,9/22/2022 17:00
working,ID,Mountain Home,755 Air Base Rd,9/22/2022 14:41,-115.700656,43.126132,9/22/2022 17:00
working,AZ,Scottsdale,9140 E Talking Stick Way,9/22/2022 14:41,-111.885344,33.539235,9/22/2022 17:00
working,AZ,Mesa,2001 N Country Club,9/22/2022 14:41,-111.83927,33.452086,9/22/2022 17:00
working,AZ,Mesa,358 E University Dr,9/22/2022 14:41,-111.823369,33.422837,9/22/2022 17:00
working,AZ,Gilbert,3021 S Val Vista,9/22/2022 14:41,-111.754742,33.297262,9/22/2022 17:00
working,AZ,Gilbert,N Of The Nw Corner Of Higley & Chandler,9/22/2022 14:41,-111.72121,33.235251,9/22/2022 17:00
inactive,AZ,Mesa,1955 S Stapley  W M #2768,4/9/2022 0:24,-111.802742,33.380403,9/22/2022 17:00
working,AZ,Prescott,3171 Willow Creek,9/22/2022 14:41,-112.457411,34.598155,9/22/2022 17:00
working,AZ,Sahuarita,775 West Via Rancho Sahuarita Rd,9/22/2022 14:41,-110.981662,31.957502,9/22/2022 17:00
working,AZ,Scottsdale,6335 E Greenway,9/22/2022 14:41,-111.943711,33.625365,9/22/2022 17:00
working,AZ,Prescott,1711 East State Route 69,9/22/2022 14:41,-112.439481,34.548785,9/22/2022 17:00
working,AZ,Scottsdale,10825 North Scottsdale Road,9/22/2022 14:41,-111.925632,33.584891,9/22/2022 17:00
working,AZ,Scottsdale,5998 N Granite Reef Rd,9/22/2022 14:41,-111.900488,33.523554,9/22/2022 17:00
working,AZ,Scottsdale,4830 E Bell Rd,9/22/2022 14:41,-111.976219,33.641069,9/22/2022 17:00
working,AZ,Gilbert,825 W Warner Rd,9/22/2022 14:41,-111.80737,33.334768,9/22/2022 17:00
working,AZ,Mesa,1250 S Country Club,9/22/2022 14:41,-111.840709,33.392351,9/22/2022 17:00
working,AZ,Mesa,146 W Baseline Road,9/22/2022 14:41,-111.835304,33.379338,9/22/2022 17:00
working,AZ,Mesa,857 N. Dobson  Wm 2482,9/22/2022 14:41,-111.865524,33.43193,9/22/2022 17:00
