status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,AR,Little Rock,7721 Cantrell Rd,2022-09-23 10:21:03,-92.360991,34.773429,2022-09-23 12:00:03
working,FL,Fort Myers,7105 Constitution Blvd,2022-09-23 10:22:03,-81.837313,26.477951,2022-09-23 12:00:03
inactive,FL,Miami Gardens,19501 Nw 27th Ave,2022-07-12 09:02:03,-80.243701,25.952903,2022-09-23 12:00:03
working,FL,Miramar,14301 Miramar Pkwy,2022-09-23 10:22:03,-80.336621,25.979212,2022-09-23 12:00:03
working,FL,North Miami,2201 Ne 163rd St,2022-09-23 10:21:03,-80.155511,25.926693,2022-09-23 12:00:03
inactive,FL,North Miami Beach,1425 Ne 163rd Street,2022-06-30 08:29:03,-80.171337,25.928253,2022-09-23 12:00:03
inactive,FL,Miami Gardens,17650 Nw 2nd Ave,2022-07-10 01:01:03,-80.207722,25.935788,2022-09-23 12:00:03
working,MO,Pleasant Hill,400 N Hwy 7,2022-09-23 10:22:03,-94.261673,38.790021,2022-09-23 12:00:03
working,AR,Little Rock,7200 W 12th St,2022-09-23 10:21:03,-92.355156,34.742447,2022-09-23 12:00:03
working,FL,North Miami Beach,200 Ne 167th St,2022-09-23 10:22:03,-80.195929,25.927854,2022-09-23 12:00:03
working,FL,Miramar,17001 Miramar Parkway,2022-09-23 10:22:03,-80.374193,25.97919,2022-09-23 12:00:03
inactive,AR,Little Rock,4111 S University Ave,2022-09-23 10:22:03,-92.341995,34.714205,2022-09-23 12:00:03
broken,FL,Carol City,18250 Nw 27th Ave,2022-09-23 10:21:03,-80.245681,25.940175,2022-09-23 12:00:03
working,FL,Estero,20310 Grand Oaks Shoppes Blvd,2022-09-23 10:22:03,-81.770409,26.437543,2022-09-23 12:00:03
broken,MS,Pascagoula,3227 Denny Ave,2022-09-23 10:22:03,-88.528051,30.377997,2022-09-23 12:00:03
working,AR,Pine Bluff,2819 S Olive St,2022-09-23 10:22:03,-92.006587,34.200215,2022-09-23 12:00:03
working,FL,Fort Myers,18500 Summerlin Rd,2022-09-23 10:21:03,-81.943861,26.494559,2022-09-23 12:00:03
inactive,AR,Little Rock,10201 N Rodney Parham Rd,2022-08-30 16:37:03,-92.38769,34.766297,2022-09-23 12:00:03
working,FL,Carol City,4686 Nw 183rd St,2022-09-23 10:22:03,-80.27658,25.939415,2022-09-23 12:00:03
working,MO,Independence,18910 E Us Hwy 40,2022-09-23 10:22:03,-94.35653,39.032138,2022-09-23 12:00:03
working,MO,Independence,16235 E Hwy 24,2022-09-23 10:21:03,-94.382548,39.117415,2022-09-23 12:00:03
broken,IA,Carroll,912 W Highway 30 St,2022-09-23 10:21:03,-94.876722,42.071492,2022-09-23 12:00:03
working,MO,Independence,3921 South Bolger Road,2022-09-23 10:22:03,-94.365434,39.047545,2022-09-23 12:00:03
working,FL,Miami,15096 Nw 7th,2022-09-23 10:22:03,-80.212162,25.912657,2022-09-23 12:00:03
working,AR,Pine Bluff,107 S Blake St,2022-09-23 10:21:03,-92.042992,34.229889,2022-09-23 12:00:03
inactive,MS,Purvis,5772 Us Hwy 11,2022-09-23 10:21:03,-89.402126,31.146147,2022-09-23 12:00:03
inactive,FL,Miami,5851 Nw 177th St,2022-06-29 05:11:03,-80.295902,25.935846,2022-09-23 12:00:03
working,FL,Hialeah,17850 Nw 57th Avenue,2022-09-23 10:22:03,-80.294228,25.935346,2022-09-23 12:00:03
working,AR,Little Rock,8011 Geyer Springs Road,2022-09-23 10:21:03,-92.343372,34.676922,2022-09-23 12:00:03
working,FL,North Miami,13000 Biscayne Blvd,2022-09-23 10:21:03,-80.162258,25.895759,2022-09-23 12:00:03
inactive,AR,Star City,100 N Lincoln,2022-09-23 10:22:03,-91.844414,33.94296,2022-09-23 12:00:03
broken,MO,Independence,16802 East Gudgell Road,2022-09-23 10:22:03,-94.380074,39.072479,2022-09-23 12:00:03
working,FL,Hialeah,8505 Nw 186th St,2022-09-23 10:21:03,-80.340583,25.942678,2022-09-23 12:00:03
working,MS,Pascagoula,3026 Market St,2022-09-23 10:21:03,-88.54798,30.364649,2022-09-23 12:00:03
working,AR,Little Rock,14401 Arch St Pike,2022-09-23 10:22:03,-92.314505,34.618965,2022-09-23 12:00:03
working,AR,Little Rock,11500 W Markham Rd,2022-09-23 10:22:03,-92.403635,34.75434,2022-09-23 12:00:03
working,MO,Liberty,918 S 291 Hwy,2022-09-23 10:21:03,-94.433457,39.236915,2022-09-23 12:00:03
broken,MO,Lee'S Summit,1809 Se Blue Pky,2022-09-23 10:21:03,-94.338875,38.903563,2022-09-23 12:00:03
working,FL,Hialeah,16701 Nw 67th Ave,2022-09-23 10:22:03,-80.308507,25.925483,2022-09-23 12:00:03
working,FL,Miami,610 Ne 125th St,2022-09-23 10:22:03,-80.186093,25.889932,2022-09-23 12:00:03
working,MO,Kansas City,9701 N Ash Avenue,2022-09-23 10:21:03,-94.451056,39.267838,2022-09-23 12:00:03
broken,FL,Miami,1930 Opa Locka Blvd,2022-09-23 10:21:03,-80.231708,25.897805,2022-09-23 12:00:03
working,MO,Lee'S Summit,900 Ne Langsford Rd,2022-09-23 10:22:03,-94.360936,38.91797,2022-09-23 12:00:03
working,FL,North Miami,11899 Nw 7th Avenue,2022-09-23 10:22:03,-80.209982,25.883409,2022-09-23 12:00:03
working,AR,White Hall,8012 Sheridan Rd,2022-09-23 10:21:03,-92.100998,34.259642,2022-09-23 12:00:03
inactive,AR,Little Rock,8820 Baseline Rd,2022-09-23 10:21:03,-92.376906,34.670564,2022-09-23 12:00:03
inactive,MO,Independence,1225 S Noland Rd,2022-09-17 03:55:03,-94.413462,39.077795,2022-09-23 12:00:03
working,FL,Miami Lakes,7435 Miami Lakes Dr W,2022-09-23 10:22:03,-80.319604,25.910885,2022-09-23 12:00:03
working,MO,Kansas City,9851 Ne Barry Rd,2022-09-23 10:21:03,-94.462519,39.243844,2022-09-23 12:00:03
working,AR,Pine Bluff,3610 Camden Rd,2022-09-23 10:21:03,-92.061474,34.192959,2022-09-23 12:00:03
